,Suburb,Address,Type,Price,Method,Date,Distance,Postcode,Landsize,Lattitude,Longtitude,Regionname,Propertycount
36,Kew East,4/34 Strathalbyn St,Unit,620000.0,Property sold,2016-03-09,7.5,3102,0.0,-37.7971,145.0514,Southern Metropolitan,2671
37,Ashburton,61 Dent St,House,2650000.0,Property sold,2016-03-09,11.0,3147,753.0,-37.8669,145.0767,Southern Metropolitan,3052
38,Maidstone,12 Bosquet St,House,670000.0,Property sold,2016-03-09,9.2,3012,564.0,-37.7832,144.8745,Western Metropolitan,3873
39,Maidstone,3 Crefden St,Townhouse,615000.0,Property sold,2016-03-09,9.2,3012,165.0,-37.7773,144.8725,Western Metropolitan,3873
40,Kensington,65 Gatehouse Dr,House,852000.0,Property sold,2016-03-09,4.2,3031,166.0,-37.7929,144.9197,Northern Metropolitan,5263
41,North Melbourne,208/150 Peel St,Unit,491000.0,Property sold prior,2016-03-09,2.3,3051,0.0,-37.8044,144.9566,Northern Metropolitan,6821
42,Northcote,43 Christmas St,House,1286000.0,Property sold,2016-03-09,5.5,3070,245.0,-37.7662,145.0096,Northern Metropolitan,11364
43,Northcote,30 Clarke St,House,1200000.0,Property sold,2016-03-09,5.5,3070,215.0,-37.7759,144.9909,Northern Metropolitan,11364
44,Reservoir,1/147 Purinuan Rd,Unit,415000.0,Property passed in,2016-03-09,11.2,3073,189.0,-37.708,145.0181,Northern Metropolitan,21650
45,Armadale,8/19 Mercer Rd,Unit,599000.0,Property sold,2016-03-09,6.3,3143,0.0,-37.8543,145.0262,Southern Metropolitan,4836
46,Richmond,24 Butler St,House,937000.0,Property sold,2016-03-09,2.6,3121,125.0,-37.8106,144.994,Northern Metropolitan,14949
47,Richmond,81 Erin St,House,1260000.0,Property sold,2016-03-09,2.6,3121,203.0,-37.8166,144.9945,Northern Metropolitan,14949
48,Richmond,52 Lyndhurst St,Townhouse,1236000.0,Property sold,2016-03-09,2.6,3121,675.0,-37.8206,145.0003,Northern Metropolitan,14949
49,Richmond,409/120 Palmer St,Unit,540000.0,Property passed in,2016-03-09,2.6,3121,656.0,-37.8195,145.0103,Northern Metropolitan,14949
50,Richmond,6/25 River St,Unit,795250.0,Property sold,2016-03-09,2.6,3121,0.0,-37.8164,145.0136,Northern Metropolitan,14949
51,Richmond,29/9 Tennyson St,Unit,582000.0,Property sold,2016-03-09,2.6,3121,0.0,-37.824,144.9918,Northern Metropolitan,14949
52,Reservoir,1/21 Dumbarton St,Unit,475000.0,Property sold,2016-03-09,11.2,3073,191.0,-37.7019,145.0256,Northern Metropolitan,21650
53,Richmond,2/65 Westbank Tce,Unit,500000.0,Property sold prior,2016-03-09,2.6,3121,0.0,-37.8226,145.013,Northern Metropolitan,14949
54,Seddon,56 Hamilton St,House,1145000.0,Property sold,2016-03-09,6.6,3011,350.0,-37.8094,144.8869,Western Metropolitan,2417
55,South Melbourne,806/50 Albert Rd,Unit,593000.0,Property sold,2016-03-09,2.1,3205,0.0,-37.8341,144.9713,Southern Metropolitan,5943
56,South Melbourne,157 Napier St,House,1600000.0,Property sold prior,2016-03-09,2.1,3205,88.0,-37.8363,144.9628,Southern Metropolitan,5943
57,Altona North,4 Knapp St,House,781000.0,Property sold,2016-03-09,11.1,3025,533.0,-37.8291,144.835,Western Metropolitan,5132
58,Altona North,45 Hearn St,House,1085000.0,Property sold,2016-03-09,11.1,3025,592.0,-37.8388,144.8567,Western Metropolitan,5132
59,South Yarra,11/276 Domain Rd,Unit,430000.0,Property sold,2016-03-09,3.3,3141,0.0,-37.8351,144.9909,Southern Metropolitan,14887
60,South Yarra,5/38 MacFarlan St,Unit,722000.0,Property sold prior,2016-03-09,3.3,3141,0.0,-37.8393,144.9886,Southern Metropolitan,14887
61,South Yarra,301/89 River St,Unit,930000.0,Property sold,2016-03-09,3.3,3141,0.0,-37.8361,144.9966,Southern Metropolitan,14887
62,Rosanna,20 Rowell St,House,1101500.0,Property sold,2016-03-09,11.4,3084,629.0,-37.7395,145.0773,Eastern Metropolitan,3540
63,Heidelberg Heights,97 Edwin St,House,815000.0,Property sold prior,2016-03-09,10.5,3081,589.0,-37.7501,145.0505,Eastern Metropolitan,2947
64,Preston,376 Plenty Rd,House,930000.0,Property sold prior,2016-03-09,8.8,3072,518.0,-37.7418,145.0095,Northern Metropolitan,14577
65,Preston,164 Gower St,House,900000.0,Property sold,2016-03-09,8.8,3072,530.0,-37.7416,145.016,Northern Metropolitan,14577
66,Northcote,57A Derby St,House,1382500.0,Sold after auction,2016-03-09,5.5,3070,286.0,-37.7708,145.0054,Northern Metropolitan,11364
67,Northcote,3/412 High St,Unit,630000.0,Property sold,2016-03-09,5.5,3070,0.0,-37.7679,144.9994,Northern Metropolitan,11364
68,Northcote,24 Jessie St,House,1600000.0,Vendor Bid,2016-03-09,5.5,3070,464.0,-37.7805,145.004,Northern Metropolitan,11364
69,Ascot Vale,2/43 Roxburgh St,Unit,455000.0,Property sold,2016-03-09,5.9,3032,0.0,-37.7756,144.9165,Western Metropolitan,6567
70,Oak Park,14 Marie St,House,892000.0,Property sold,2016-03-09,11.5,3046,757.0,-37.718,144.9174,Northern Metropolitan,2651
71,Oak Park,1 Victoria St,House,592000.0,Property sold,2016-03-09,11.5,3046,577.0,-37.7137,144.9167,Northern Metropolitan,2651
72,Oakleigh South,2/232 Warrigal Rd,Townhouse,680000.0,Property sold,2016-03-09,14.7,3167,189.0,-37.9122,145.0853,South-Eastern Metropolitan,3692
73,Parkville,50 Strickland Rd,House,1230000.0,Property sold,2016-03-09,2.6,3052,357.0,-37.7767,144.9403,Northern Metropolitan,2309
74,Preston,19 Malpas St,House,1004000.0,Property sold,2016-03-09,8.8,3072,650.0,-37.7346,145.0226,Northern Metropolitan,14577
75,Pascoe Vale,9 Irvine St,House,1120000.0,Property sold,2016-03-09,9.9,3044,50.0,-37.734,144.9416,Northern Metropolitan,7485
76,Port Melbourne,903/107 Beach St,Unit,1100000.0,Property sold,2016-03-09,3.8,3207,0.0,-37.8405,144.9319,Southern Metropolitan,8648
77,Prahran,7/36 Grandview Gr,Unit,650000.0,Vendor Bid,2016-03-09,4.5,3181,0.0,-37.85,145.0085,Southern Metropolitan,7717
78,Prahran,13/37 Greville St,Unit,342000.0,Property sold,2016-03-09,4.5,3181,0.0,-37.8486,144.9872,Southern Metropolitan,7717
79,Prahran,20a Percy St,House,950000.0,Property passed in,2016-03-09,4.5,3181,88.0,-37.8503,144.9913,Southern Metropolitan,7717
80,Prahran,3/122 Williams Rd,Unit,781000.0,Property sold,2016-03-09,4.5,3181,0.0,-37.8511,145.0029,Southern Metropolitan,7717
81,Preston,6 Dalgety St,House,1250000.0,Property sold,2016-03-09,8.8,3072,644.0,-37.7419,145.0049,Northern Metropolitan,14577
82,Preston,2 Eggleton Ct,House,855000.0,Vendor Bid,2016-03-09,8.8,3072,584.0,-37.7332,145.0252,Northern Metropolitan,14577
83,Preston,370 Gilbert Rd,House,930000.0,Property sold,2016-03-09,8.8,3072,604.0,-37.7369,144.9905,Northern Metropolitan,14577
84,Pascoe Vale,7 Virginia St,House,770000.0,Property sold,2016-03-09,9.9,3044,560.0,-37.7156,144.9429,Northern Metropolitan,7485
85,South Yarra,18/34 Rockley Rd,Unit,467500.0,Property sold prior,2016-03-09,3.3,3141,0.0,-37.8363,145.0003,Southern Metropolitan,14887
86,Hawthorn,6a Scott St,House,1650000.0,Property passed in,2016-03-09,4.6,3122,317.0,-37.8344,145.0422,Southern Metropolitan,11308
87,Hampton,3/31 Thomas St,Unit,720000.0,Property sold,2016-03-09,13.7,3188,832.0,-37.9387,145.0063,Southern Metropolitan,5454
88,Camberwell,2/1 Glen Iris Rd,Townhouse,1615000.0,Property sold,2016-03-09,7.8,3124,389.0,-37.8435,145.0695,Southern Metropolitan,8920
89,Camberwell,1288 Toorak Rd,House,3225000.0,Sold after auction,2016-03-09,7.8,3124,934.0,-37.8496,145.0869,Southern Metropolitan,8920
90,Canterbury,18 Irilbarra Rd,House,2950000.0,Property sold,2016-03-09,9.0,3126,687.0,-37.8186,145.0706,Southern Metropolitan,3265
91,Carlton North,527 Nicholson St,House,1330000.0,Vendor Bid,2016-03-09,3.2,3054,314.0,-37.7871,144.9766,Northern Metropolitan,3106
92,Carnegie,1/60 Moonya Rd,Unit,820000.0,Property sold,2016-03-09,11.4,3163,0.0,-37.897,145.0623,Southern Metropolitan,7822
93,Carnegie,1/70 Truganini Rd,Townhouse,795000.0,Property sold,2016-03-09,11.4,3163,133.0,-37.8911,145.0539,Southern Metropolitan,7822
94,Balwyn North,32 Jaserfold St,House,1080000.0,Property sold,2016-03-09,9.2,3104,253.0,-37.7912,145.085,Southern Metropolitan,7809
95,Balwyn North,19 Jacka St,House,3230000.0,Property sold,2016-03-09,9.2,3104,1135.0,-37.8014,145.0892,Southern Metropolitan,7809
96,Balwyn North,153 Doncaster Rd,House,1500000.0,Property passed in,2016-03-09,9.2,3104,778.0,-37.7939,145.0789,Southern Metropolitan,7809
97,Balwyn North,3/41 Clifton St,Townhouse,1315000.0,Property sold,2016-03-09,9.2,3104,260.0,-37.7966,145.1021,Southern Metropolitan,7809
98,Caulfield,6/5 Freeman St,Unit,722500.0,Property sold,2016-03-09,8.9,3162,0.0,-37.8865,145.0302,Southern Metropolitan,2379
99,Caulfield North,14 Arthur St,House,1365000.0,Property sold,2016-03-09,8.1,3161,513.0,-37.8678,145.02700000000004,Southern Metropolitan,6923
100,Caulfield North,452 Dandenong Rd,House,1750000.0,Property sold,2016-03-09,8.1,3161,692.0,-37.8629,145.019,Southern Metropolitan,6923
101,Caulfield South,26 Flowers St,House,1577500.0,Property sold,2016-03-09,9.3,3162,357.0,-37.8896,145.0307,Southern Metropolitan,5051
102,Chadstone,3/10 Euroka St,Townhouse,752000.0,Property sold,2016-03-09,13.6,3148,182.0,-37.8786,145.1015,Southern Metropolitan,3582
103,Clifton Hill,60a Hodgkinson St,House,1270000.0,Property sold,2016-03-09,3.4,3068,187.0,-37.7902,144.9894,Northern Metropolitan,2954
104,Coburg,29 Molesworth St,House,850000.0,Property sold prior,2016-03-09,7.8,3058,371.0,-37.735,144.9589,Northern Metropolitan,11204
105,Camberwell,28 Brinsley Rd,House,2650000.0,Property sold,2016-03-09,7.8,3124,652.0,-37.8286,145.0686,Southern Metropolitan,8920
106,Burwood,15 Loudon Rd,House,1590000.0,Property sold,2016-03-09,11.7,3125,661.0,-37.848,145.09799999999996,Southern Metropolitan,5678
107,Bulleen,25 William St,House,1235000.0,Property sold,2016-03-09,11.8,3105,556.0,-37.7657,145.0957,Eastern Metropolitan,4480
108,Bulleen,92 Swanston St,House,1110000.0,Property passed in,2016-03-09,11.8,3105,562.0,-37.7628,145.0994,Eastern Metropolitan,4480
109,Bentleigh East,30 Veronica St,House,825000.0,Property sold,2016-03-09,13.9,3165,176.0,-37.9237,145.0763,Southern Metropolitan,10969
110,Bentleigh,2/531 South Rd,Townhouse,895000.0,Property passed in,2016-03-09,13.0,3204,362.0,-37.9336,145.043,Southern Metropolitan,6795
111,Bentleigh,1/236 Patterson Rd,Unit,875000.0,Property sold,2016-03-09,13.0,3204,348.0,-37.9273,145.0479,Southern Metropolitan,6795
112,Bentleigh,22 Hobart St,House,1275000.0,Property sold,2016-03-09,13.0,3204,599.0,-37.925,145.046,Southern Metropolitan,6795
113,Bentleigh,5/205 Centre Rd,Unit,636000.0,Property sold,2016-03-09,13.0,3204,202.0,-37.9165,145.0259,Southern Metropolitan,6795
114,Box Hill,32 Margaret St,House,1620000.0,Property sold,2016-03-09,13.1,3128,697.0,-37.8151,145.135,Eastern Metropolitan,4605
115,Braybrook,132 Duke St,House,870000.0,Property sold,2016-03-09,10.8,3019,700.0,-37.7824,144.8469,Western Metropolitan,3589
116,Braybrook,25 Lily St,House,645000.0,Property sold,2016-03-09,10.8,3019,566.0,-37.7839,144.8524,Western Metropolitan,3589
117,Coburg,10 Shackell St,House,784000.0,Property sold,2016-03-09,7.8,3058,286.0,-37.7427,144.952,Northern Metropolitan,11204
118,Brighton,802 Hampton St,House,1550000.0,Vendor Bid,2016-03-09,11.2,3186,663.0,-37.9159,145.0068,Southern Metropolitan,10579
119,Brighton East,7 Balfour St,House,1940000.0,Property sold,2016-03-09,10.7,3187,682.0,-37.9205,145.0122,Southern Metropolitan,6938
120,Brighton East,4 Marriage Rd,House,1850000.0,Property sold,2016-03-09,10.7,3187,617.0,-37.9187,145.007,Southern Metropolitan,6938
121,Brighton East,244a South Rd,House,930000.0,Property sold prior,2016-03-09,10.7,3187,329.0,-37.9317,145.0218,Southern Metropolitan,6938
122,Brunswick,8/55 De Carle St,Unit,428000.0,Property sold,2016-03-09,5.2,3056,0.0,-37.7593,144.9652,Northern Metropolitan,11918
123,Brunswick,234 Victoria St,House,1026000.0,Property sold,2016-03-09,5.2,3056,225.0,-37.7676,144.9665,Northern Metropolitan,11918
124,Brunswick West,8/7 Passfield St,Unit,521500.0,Property sold,2016-03-09,5.9,3055,0.0,-37.768,144.9408,Northern Metropolitan,7082
125,Bulleen,19a Elizabeth St,Unit,851000.0,Property sold,2016-03-09,11.8,3105,385.0,-37.7599,145.0849,Eastern Metropolitan,4480
126,Bulleen,42 Robert St,House,1300000.0,Property sold,2016-03-09,11.8,3105,717.0,-37.7608,145.0862,Eastern Metropolitan,4480
127,Brighton,18 Rooding St,House,1635000.0,Property sold,2016-03-09,11.2,3186,366.0,-37.9038,145.0001,Southern Metropolitan,10579
128,Collingwood,69 Hotham St,Townhouse,750000.0,Property sold,2016-03-09,1.6,3066,115.0,-37.7968,144.9891,Northern Metropolitan,4553
129,Collingwood,130 Keele St,House,890000.0,Property sold,2016-03-09,1.6,3066,178.0,-37.7974,144.9915,Northern Metropolitan,4553
130,Collingwood,10/79 Oxford St,Unit,1260000.0,Property sold,2016-03-09,1.6,3066,0.0,-37.8042,144.9845,Northern Metropolitan,4553
131,Fitzroy North,186 Queens Pde,Townhouse,930000.0,Property sold,2016-03-09,3.5,3068,2778.0,-37.7903,144.9859,Northern Metropolitan,6244
132,Flemington,96 Bryant St,House,865500.0,Property sold,2016-03-09,4.4,3031,168.0,-37.7835,144.9339,Northern Metropolitan,3593
133,Footscray,4/33 Ballarat Rd,Townhouse,585000.0,Property sold,2016-03-09,6.4,3011,259.0,-37.7955,144.9063,Western Metropolitan,7570
134,Footscray,202/51 Gordon St,Unit,85000.0,Property passed in,2016-03-09,6.4,3011,0.0,-37.7911,144.89,Western Metropolitan,7570
135,Glen Iris,6 Beatrice St,House,1735000.0,Property sold,2016-03-09,9.2,3146,680.0,-37.854,145.0832,Southern Metropolitan,10412
136,Glen Iris,57 Brandon St,House,1699000.0,Property sold,2016-03-09,9.2,3146,653.0,-37.8573,145.077,Southern Metropolitan,10412
137,Glen Iris,11 Vincent St,House,3400000.0,Vendor Bid,2016-03-09,9.2,3146,856.0,-37.8628,145.0436,Southern Metropolitan,10412
138,Glen Iris,2 Vincent St,House,3730000.0,Property passed in,2016-03-09,9.2,3146,919.0,-37.8637,145.0438,Southern Metropolitan,10412
139,Fitzroy North,2 Pilkington St,House,1450000.0,Vendor Bid,2016-03-09,3.5,3068,266.0,-37.7797,144.9861,Northern Metropolitan,6244
140,Glenroy,89 John St,House,610000.0,Property sold,2016-03-09,13.0,3046,696.0,-37.6972,144.9431,Northern Metropolitan,8870
141,Gowanbrae,31 Seggan Cir,Townhouse,532000.0,Property sold,2016-03-09,13.6,3043,149.0,-37.7068,144.8963,Western Metropolitan,1071
142,Hadfield,20 Bedford St,House,605000.0,Property passed in,2016-03-09,12.1,3046,597.0,-37.711,144.9478,Northern Metropolitan,2606
143,Hadfield,29 Sutherland St,House,685500.0,Property sold prior,2016-03-09,12.1,3046,724.0,-37.7076,144.9481,Northern Metropolitan,2606
144,Hampton,1/30 Grenville St,Unit,895000.0,Property sold,2016-03-09,13.7,3188,228.0,-37.9355,145.0008,Southern Metropolitan,5454
145,Hampton,6/334 Hampton St,Unit,587000.0,Property sold,2016-03-09,13.7,3188,0.0,-37.9419,145.0019,Southern Metropolitan,5454
146,Hampton,38 Myrtle Rd,House,2800000.0,Property sold,2016-03-09,13.7,3188,701.0,-37.9419,145.0152,Southern Metropolitan,5454
147,Avondale Heights,9 Rogerson St,House,750000.0,Property sold prior,2016-03-09,10.5,3034,0.0,-37.7634,144.8611,Western Metropolitan,4502
148,Avondale Heights,8 Norma Ct,House,850000.0,Property sold,2016-03-09,10.5,3034,593.0,-37.7677,144.8674,Western Metropolitan,4502
149,Gowanbrae,1 Gowanbrae Dr,House,631000.0,Property sold,2016-03-09,13.6,3043,608.0,-37.709,144.8925,Western Metropolitan,1071
150,Hampton,36 Thomas St,House,3250000.0,Property sold,2016-03-09,13.7,3188,928.0,-37.9389,145.0062,Southern Metropolitan,5454
151,Fitzroy North,76 Newry St,House,1116000.0,Property sold,2016-03-09,3.5,3068,152.0,-37.791,144.9809,Northern Metropolitan,6244
152,Balaclava,18 Linton St,House,1819000.0,Property sold,2016-03-09,6.6,3183,244.0,-37.8668,144.9928,Southern Metropolitan,2952
153,Collingwood,2/79 Oxford St,Unit,855000.0,Property sold,2016-03-09,1.6,3066,2886.0,-37.8042,144.9845,Northern Metropolitan,4553
154,Doncaster,329 George St,House,1924500.0,Property sold,2016-03-09,13.9,3108,1157.0,-37.7779,145.127,Eastern Metropolitan,9028
155,Doncaster,2/20 Wetherby Rd,Unit,492500.0,Property sold,2016-03-09,13.9,3108,65.0,-37.7887,145.1438,Eastern Metropolitan,9028
156,Elsternwick,30 Ross St,House,900000.0,Vendor Bid,2016-03-09,8.5,3185,239.0,-37.8845,144.999,Southern Metropolitan,4898
157,Elwood,8/44 Southey St,Unit,520000.0,Property sold,2016-03-09,7.7,3184,0.0,-37.8761,144.9871,Southern Metropolitan,8989
158,Elwood,1/10 Wilton Gr,Townhouse,1350000.0,Property sold,2016-03-09,7.7,3184,1170.0,-37.8831,144.9801,Southern Metropolitan,8989
159,Essendon,6 Buckley St,House,1425000.0,Property sold,2016-03-09,8.0,3040,684.0,-37.7585,144.9317,Western Metropolitan,9264
160,Essendon,1/28 Gilbertson St,Unit,660000.0,Property sold,2016-03-09,8.0,3040,263.0,-37.7418,144.8977,Western Metropolitan,9264
161,Fitzroy North,50 Freeman St,House,870000.0,Property sold,2016-03-09,3.5,3068,107.0,-37.7898,144.9794,Northern Metropolitan,6244
162,Essendon,3/85 Tennyson St,Unit,550000.0,Vendor Bid,2016-03-09,8.0,3040,0.0,-37.7575,144.9298,Western Metropolitan,9264
163,Balwyn,36 Narrak Rd,House,1800000.0,Vendor Bid,2016-03-09,9.7,3103,715.0,-37.811,145.0958,Southern Metropolitan,5682
164,Balwyn,166 Gordon St,House,2100000.0,Property sold,2016-03-09,9.7,3103,659.0,-37.8094,145.0807,Southern Metropolitan,5682
165,Essendon North,2/17 Bulla Rd,Unit,396000.0,Property sold,2016-03-09,9.4,3041,0.0,-37.7428,144.9086,Western Metropolitan,1308
166,Fairfield,150 Gillies St,House,1250000.0,Vendor Bid,2016-03-09,5.8,3078,327.0,-37.7723,145.0179,Northern Metropolitan,2970
167,Fitzroy,111 Cecil St,House,1000000.0,Property sold,2016-03-09,1.6,3065,128.0,-37.7941,144.9802,Northern Metropolitan,5825
168,Fitzroy,3/18 Hanover St,House,1252000.0,Property sold,2016-03-09,1.6,3065,0.0,-37.8029,144.975,Northern Metropolitan,5825
169,Fitzroy North,233/4 Bik La,Unit,700000.0,Property sold prior,2016-03-09,3.5,3068,4332.0,-37.7846,144.9785,Northern Metropolitan,6244
170,Fitzroy North,470 Brunswick St,House,860000.0,Property sold,2016-03-09,3.5,3068,104.0,-37.7927,144.9796,Northern Metropolitan,6244
171,Balwyn,2/16 Westminster St,Townhouse,1255000.0,Property sold,2016-03-09,9.7,3103,208.0,-37.8128,145.0975,Southern Metropolitan,5682
172,South Yarra,9/10 Tivoli Rd,Unit,475000.0,Property passed in,2016-03-09,3.3,3141,0.0,-37.8391,144.9984,Southern Metropolitan,14887
173,Bentleigh East,18 Mervin St,House,1410000.0,Property sold,2016-03-09,13.9,3165,768.0,-37.9305,145.0547,Southern Metropolitan,10969
174,Viewbank,52 Rosemar Cct,House,910000.0,Property sold,2016-03-09,13.8,3084,626.0,-37.735,145.0921,Eastern Metropolitan,2698
175,Southbank,41/106 Southbank Bvd,Unit,720000.0,Property sold,2016-03-09,1.2,3006,0.0,-37.8235,144.9655,Southern Metropolitan,8400
176,Williamstown,54 Twyford St,House,1535000.0,Property sold,2016-03-09,8.0,3016,507.0,-37.8681,144.8994,Western Metropolitan,6380
177,Albert Park,105 Kerferd Rd,House,1275000.0,Property sold,2016-03-09,3.3,3206,120.0,-37.8459,144.9555,Southern Metropolitan,3280
178,West Melbourne,44 Anderson St,Townhouse,1010000.0,Property sold,2016-03-09,1.9,3003,0.0,-37.8048,144.9424,Northern Metropolitan,2230
179,Yarraville,13 Benbow St,House,1000000.0,Property sold,2016-03-09,7.0,3013,448.0,-37.8228,144.8799,Western Metropolitan,6543
180,Airport West,154 Halsey Rd,Townhouse,840000.0,Property passed in,2016-03-09,13.5,3042,303.0,-37.718,144.878,Western Metropolitan,3464
181,Albert Park,85 Richardson St,House,1455000.0,Property sold,2016-03-09,3.3,3206,159.0,-37.845,144.9538,Southern Metropolitan,3280
182,Templestowe Lower,3 Waratah Dr,House,1201000.0,Property sold prior,2016-03-09,13.8,3107,657.0,-37.7624,145.1175,Eastern Metropolitan,5420
183,Thornbury,2/305 Rossmoyne St,Unit,510000.0,Vendor Bid,2016-03-09,6.5,3071,0.0,-37.7591,145.0211,Northern Metropolitan,8870
184,Williamstown,46 Pasco St,House,1400000.0,Property sold,2016-03-09,8.0,3016,320.0,-37.8613,144.8988,Western Metropolitan,6380
185,Williamstown,4 Freyer St,House,1325000.0,Property sold,2016-03-09,8.0,3016,452.0,-37.855,144.8905,Western Metropolitan,6380
186,Yarraville,83 Tarrengower St,House,1165000.0,Property sold,2016-03-09,7.0,3013,191.0,-37.8175,144.8879,Western Metropolitan,6543
187,Yarraville,40 Tarrengower St,House,760000.0,Property sold prior,2016-03-09,7.0,3013,134.0,-37.8176,144.8911,Western Metropolitan,6543
188,Spotswood,73 The Avenue,House,1040000.0,Property sold,2016-03-09,7.7,3015,690.0,-37.8272,144.8789,Western Metropolitan,1223
189,St Kilda,1/170 Barkly St,Unit,509000.0,Property sold,2016-03-09,6.1,3182,0.0,-37.8679,144.9813,Southern Metropolitan,13240
